timestamp,fecha,mes,dia_semana,dia_semana_num,hora,turno,AT_1,AT_2,FI_1,FI_2,FI_3,R_1,R_2,R_3,E_1,E_2,E_3,E_4,score_tangibles,score_fiabilidad,score_responsiveness,score_empatia,score_servqual_total,D_1,satisfaccion_nivel,NPS,nps_categoria,C_1,calidad_nivel,INFO,info_nivel,AÑOS,antiguedad_grupo,Giro,Puesto,Estado,Estado_limpio,region,poblacion_millones,pib_per_capita_miles,nivel_economico_estado,lat,long,region_simplificada,Giro_corto
2025-04-11 16:44:58,2025-04-11,4,Friday,4,16,Tarde,5,4,4,4,4.0,3,4,4,3,4,4,3,4.5,4.0,3.67,3.5,3.92,8,Alto,8,Pasivo,5,Bueno,9,Bien informado,10,Veterano,Educación,Supervisor,Chihuahua,Chihuahua,Norte,3.74,218.0,Alto,28.633,-106.0691,Norte,Educación
2025-04-11 16:59:41,2025-04-11,4,Friday,4,16,Tarde,4,5,4,5,4.0,3,3,3,3,4,3,3,4.5,4.33,3.0,3.25,3.77,7,Medio,9,Promotor,3,Regular,7,Parcialmente informado,10,Veterano,Persona física,Persona física,Sinaloa,Sinaloa,Noroeste,3.03,151.0,Medio,24.8091,-107.394,Norte,Persona física
2025-04-11 17:29:34,2025-04-11,4,Friday,4,17,Tarde,3,4,4,4,3.0,4,3,3,5,4,4,4,3.5,3.67,3.33,4.25,3.69,7,Medio,9,Promotor,3,Regular,7,Parcialmente informado,1,Nuevo,Empresa,Coordinador,Chihuahua,Chihuahua,Norte,3.74,218.0,Alto,28.633,-106.0691,Norte,Empresa
2025-04-11 18:18:46,2025-04-11,4,Friday,4,18,Noche,4,5,3,4,3.0,4,3,3,4,4,4,4,4.5,3.33,3.33,4.0,3.79,8,Alto,9,Promotor,4,Bueno,8,Bien informado,4,Establecido,Educación,Coordinador,Chihuahua,Chihuahua,Norte,3.74,218.0,Alto,28.633,-106.0691,Norte,Educación
2025-04-11 18:22:28,2025-04-11,4,Friday,4,18,Noche,5,3,4,5,3.0,4,3,4,5,4,5,4,4.0,4.0,3.67,4.5,4.04,8,Alto,9,Promotor,4,Bueno,8,Bien informado,4,Establecido,Gubernamental,Asistente,Chiapas,Chiapas,Sureste,5.54,58.0,Bajo,16.7569,-93.1292,Sureste,Gubernamental
2025-04-11 20:07:54,2025-04-11,4,Friday,4,20,Noche,4,3,3,4,4.0,3,4,3,4,3,3,4,3.5,3.67,3.33,3.5,3.5,8,Alto,9,Promotor,3,Regular,6,Parcialmente informado,1,Nuevo,Teletón (Grupos internos de la Fundación),Coordinador,Chiapas,Chiapas,Sureste,5.54,58.0,Bajo,16.7569,-93.1292,Sureste,Teletón (Grupos internos de la Fundación)
2025-04-11 20:34:32,2025-04-11,4,Friday,4,20,Noche,5,4,2,2,3.0,2,2,3,4,3,5,3,4.5,2.33,2.33,3.75,3.23,6,Medio,8,Pasivo,2,Deficiente,7,Parcialmente informado,6,Veterano,Educación,Coordinador,Chihuahua,Chihuahua,Norte,3.74,218.0,Alto,28.633,-106.0691,Norte,Educación
2025-04-11 20:36:21,2025-04-11,4,Friday,4,20,Noche,4,4,4,4,4.0,5,3,4,4,5,4,4,4.0,4.0,4.0,4.25,4.06,8,Alto,9,Promotor,4,Bueno,8,Bien informado,9,Veterano,Educación,Persona física,Tabasco,Tabasco,Sureste,2.4,180.0,Medio,17.8409,-92.6189,Sureste,Educación
2025-04-12 00:32:16,2025-04-12,4,Saturday,5,0,Noche,4,3,5,4,4.0,4,5,5,4,4,5,4,3.5,4.33,4.67,4.25,4.19,9,Alto,9,Promotor,5,Bueno,9,Bien informado,3,Establecido,Teletón (Grupos internos de la Fundación),Persona física,Tamaulipas,Tamaulipas,Noreste,3.53,182.0,Medio,24.2669,-98.8363,Norte,Teletón (Grupos internos de la Fundación)
2025-04-12 10:05:40,2025-04-12,4,Saturday,5,10,Mañana,4,4,4,4,3.0,3,4,3,5,3,4,4,4.0,3.67,3.33,4.0,3.75,7,Medio,8,Pasivo,3,Regular,8,Bien informado,2,Nuevo,Empresa,Coordinador,Quintana Roo,Quintana Roo,Sureste,1.86,211.0,Alto,19.1817,-88.4791,Sureste,Empresa
